Finess,Année,Département,Commune,Nom,Catégorie,ivg_2018,medic_2018,tard_2018,% médic.,cat_medic,% tard.,cat_tard,évol_13_18,cat_evol,ivg_2013,ivg_2014,ivg_2015,ivg_2016,ivg_2017,ivg_2018,lat,lon
420785354,2018,LOIRE,ST PRIEST EN JAREZ,HOPITAL NORD - CHU42,Centres Hospitaliers Régionaux,747,417,58,"0,5582329317",moins que la moyenne,"0,07764390897",plus que la moyenne,"0,1763779528",en hausse,635,759,758,709,723,747,45.4711524276263,4.3747728361317
420011413,2018,LOIRE,ST ETIENNE,HÔPITAL PRIVÉ DE LA LOIRE,Etablissements de Soins de Courte Durée,76,1,9,"0,01315789474",moins que la moyenne,"0,1184210526",plus que la moyenne,"-0,5657142857",en forte baisse,175,118,90,58,63,76,45.4279041665466,4.41721793579028
420780637,2018,LOIRE,ST CHAMOND,HOPITAL DU GIER - MCO,Centres Hospitaliers,96,55,0,"0,5729166667",moins que la moyenne,0,pas d'IVG tardives,"-0,323943662",en baisse,142,144,136,145,120,96,45.474792616694,4.51635696362831
420782310,2018,LOIRE,ROANNE,CLINIQUE DU RENAISON,Etablissements de Soins de Courte Durée,13,3,2,"0,2307692308",moins que la moyenne,"0,1538461538",plus que la moyenne,"0,625",en hausse,8,22,22,15,29,13,46.0342115987825,4.05279962076262
430000117,2018,HAUTE-LOIRE,LE PUY EN VELAY,CENTRE HOSPITALIER LE PUY - EMILE ROUX,Centres Hospitaliers,258,180,13,"0,6976744186",plus que la moyenne,"0,0503875969",moins que la moyenne,"-0,1103448276",en baisse,290,288,282,226,252,258,45.0427638618496,3.88293284899562
440000412,2018,LOIRE-ATLANTIQUE,NANTES,CLINIQUE  BRETECHE,Etablissements de Soins de Courte Durée,128,98,3,"0,765625",plus que la moyenne,"0,0234375",moins que la moyenne,"0,2307692308",en hausse,104,104,134,130,131,128,47.2264485299281,-1.5464560486465
440000503,2018,LOIRE-ATLANTIQUE,CHATEAUBRIANT,CENTRE HOSPITALIER CHATEAUBRIANT,Centres Hospitaliers,123,63,3,"0,512195122",moins que la moyenne,"0,0243902439",moins que la moyenne,"-0,008064516129",stable,124,136,124,124,98,123,47.7260608256067,-1.3824618117002
440029338,2018,LOIRE-ATLANTIQUE,NANTES,CLINIQUE J.VERNE- POLE HOSP MUTUALISTE,Etablissements de Soins de Courte Durée,756,189,36,"0,25",moins que la moyenne,"0,04761904762",moins que la moyenne,"0,09248554913",en hausse,692,669,669,748,788,756,47.2488075234232,-1.52069878588498
440000016,2018,LOIRE-ATLANTIQUE,ST NAZAIRE,CENTRE HOSPITALIER DE SAINT- NAZAIRE,Centres Hospitaliers,717,453,57,"0,6317991632",plus que la moyenne,"0,07949790795",plus que la moyenne,"0,05286343612",en hausse,681,730,699,637,621,717,47.2676065650037,-2.25519170043617
440000271,2018,LOIRE-ATLANTIQUE,NANTES,CHU DE NANTES :SITE HÔTEL-DIEU- HME,Centres Hospitaliers Régionaux,1674,590,132,"0,3524492234",moins que la moyenne,"0,07885304659",plus que la moyenne,"-0,09219088937",en baisse,1844,1814,1775,1598,1730,1674,47.2122208250325,-1.55454547447072
440000396,2018,LOIRE-ATLANTIQUE,ANCENIS,CENTRE HOSPITALIER ANCENIS,Centres Hospitaliers,175,136,4,"0,7771428571",plus que la moyenne,"0,02285714286",moins que la moyenne,"0,4",en hausse,125,134,109,92,104,175,47.3746824117482,-1.17407307250305
450002613,2018,LOIRET,ORLEANS,CHR ORLÉANS - HÔPITAL DE LA SOURCE,Centres Hospitaliers Régionaux,1193,785,86,"0,6580050293",plus que la moyenne,"0,07208717519",plus que la moyenne,,nouvel établissement,,,1166,1220,1114,1193,47.838109062773,1.92462398934934
450000047,2018,LOIRET,GIEN,CH DEZARNAULDS - GIEN,Centres Hospitaliers,156,100,0,"0,641025641",plus que la moyenne,0,pas d'IVG tardives,"-0,138121547",en baisse,181,183,177,187,158,156,47.6903732665149,2.63436251588137
450000070,2018,LOIRET,PITHIVIERS,CH PITHIVIERS,Centres Hospitaliers,75,75,0,1,plus de 95%,0,pas d'IVG tardives,"-0,5901639344",en forte baisse,183,161,167,66,64,75,48.1706555878853,2.24792729803398
450000062,2018,LOIRET,AMILLY,CH AGGLOMERATION MONTARGOISE,Centres Hospitaliers,320,311,13,"0,971875",plus de 95%,"0,040625",moins que la moyenne,"-0,03903903904",stable,333,316,258,265,306,320,47.9975422421776,2.77028527653943
460000045,2018,LOT,FIGEAC,CH FIGEAC SITE MAQUISARDS,Centres Hospitaliers,30,29,0,"0,9666666667",plus de 95%,0,pas d'IVG tardives,"0,1111111111",en hausse,27,38,30,36,46,30,44.6103025406611,2.02994047064886
460000102,2018,LOT,GOURDON,CH JEAN COULON GOURDON,Centres Hospitaliers,2,2,0,1,plus de 95%,0,pas d'IVG tardives,"-0,7142857143",en forte baisse,7,6,5,4,6,2,44.7319975345612,1.37312640573418
460000110,2018,LOT,CAHORS,CH JEAN ROUGIER CAHORS,Centres Hospitaliers,273,173,10,"0,6336996337",plus que la moyenne,"0,03663003663",moins que la moyenne,"0,1280991736",en hausse,242,239,234,257,238,273,44.4456018004581,1.43681053749407
470000423,2018,LOT-ET-GARONNE,AGEN,CH AGEN NERAC - HOPITAL SAINT-ESPRIT,Centres Hospitaliers,408,293,16,"0,7181372549",plus que la moyenne,"0,03921568627",moins que la moyenne,"0,2993630573",en hausse,314,327,347,384,326,408,44.2031278545637,0.616350947082612
470000431,2018,LOT-ET-GARONNE,VILLENEUVE SUR LOT,CENTRE HOSPITALIER DE VILLENEUVE,Centres Hospitaliers,271,225,14,"0,8302583026",plus que la moyenne,"0,05166051661",moins que la moyenne,"-0,01811594203",stable,276,266,252,223,256,271,44.4071136491178,0.70355008605476
470000480,2018,LOT-ET-GARONNE,MARMANDE,CENTRE HOSPITALIER DE MARMANDE - CHIC,Centres Hospitaliers,143,88,2,"0,6153846154",plus que la moyenne,"0,01398601399",moins que la moyenne,"0,3119266055",en hausse,109,112,102,114,115,143,44.5021067195443,0.164869852770858
470000027,2018,LOT-ET-GARONNE,AGEN,CLINIQUE ESQUIROL-SAINT-HILAIRE,Etablissements de Soins de Courte Durée,120,87,2,"0,725",plus que la moyenne,"0,01666666667",moins que la moyenne,"-0,1489361702",en baisse,141,126,117,159,137,120,44.2031278545637,0.616350947082612
480000017,2018,LOZÈRE,MENDE,HOPITAL LOZERE SITE VALLEE DU LOT,Centres Hospitaliers,94,81,1,"0,8617021277",plus que la moyenne,"0,01063829787",moins que la moyenne,"-0,3935483871",en baisse,155,141,146,147,149,94,44.5285978186991,3.48868408061632
490001765,2018,MAINE-ET-LOIRE,SAUMUR,CENTRE HOSPITALIER DE SAUMUR,Centres Hospitaliers,251,175,11,"0,6972111554",plus que la moyenne,"0,0438247012",moins que la moyenne,"-0,1850649351",en baisse,308,302,244,264,227,251,47.2458223569494,-0.0644952857549667
490000049,2018,MAINE-ET-LOIRE,ANGERS,CHU D' ANGERS :SITE LARREY,Centres Hospitaliers Régionaux,1175,581,104,"0,4944680851",moins que la moyenne,"0,0885106383",plus que la moyenne,"-0,06150159744",en baisse,1252,1232,1190,1175,1124,1175,47.4804195986612,-0.554905519954056
490000635,2018,MAINE-ET-LOIRE,CHOLET,CENTRE HOSPITALIER DE CHOLET,Centres Hospitaliers,374,236,26,"0,6310160428",plus que la moyenne,"0,06951871658",plus que la moyenne,"-0,1241217799",en baisse,427,416,395,375,338,374,47.0424230294938,-0.899110804318461
500000021,2018,MANCHE,AVRANCHES,CHAG - SITE AVRANCHES,Centres Hospitaliers,184,166,6,"0,902173913",plus que la moyenne,"0,03260869565",moins que la moyenne,"0,9784946237",en hausse,93,162,150,169,173,184,48.6922737929742,-1.35168600399669
500000450,2018,MANCHE,ST LO,CH MEMORIAL - SAINT-LO,Centres Hospitaliers,245,147,19,"0,6",plus que la moyenne,"0,07755102041",plus que la moyenne,"0,1502347418",en hausse,213,203,210,202,234,245,49.1066927556486,-1.10836600018302
500000260,2018,MANCHE,GRANVILLE,CHAG - SITE GRANVILLE,Centres Hospitaliers,28,0,5,0,aucune,"0,1785714286",plus que la moyenne,"-0,6818181818",en forte baisse,88,70,45,41,26,28,48.8289751548416,-1.56764883041454
500000187,2018,MANCHE,CHERBOURG OCTEVILLE,CHPC - SITE CHERBOURG,Centres Hospitaliers,303,220,28,"0,7260726073",plus que la moyenne,"0,09240924092",plus que la moyenne,"-0,1629834254",en baisse,362,358,313,307,297,303,49.638492852825,-1.61327147055538
500000401,2018,MANCHE,COUTANCES,CLINIQUE HENRI GUILLARD - COUTANCES,Etablissements de Soins de Courte Durée,102,80,1,"0,7843137255",plus que la moyenne,"0,009803921569",moins que la moyenne,"-0,3289473684",en baisse,152,144,138,115,107,102,49.0465518676087,-1.44109414001109
510000169,2018,MARNE,CHALONS EN CHAMPAGNE,CENTRE HOSPITALIER DE CHALONS,Centres Hospitaliers,207,147,14,"0,7101449275",plus que la moyenne,"0,06763285024",plus que la moyenne,"-0,2527075812",en baisse,277,273,295,249,221,207,48.9714013674166,4.37205864725554
510000235,2018,MARNE,EPERNAY,CENTRE HOSPITALIER D'EPERNAY,Centres Hospitaliers,202,162,8,"0,801980198",plus que la moyenne,"0,0396039604",moins que la moyenne,"0,1284916201",en hausse,179,159,185,175,200,202,49.0434015228356,3.9562600475514
510000243,2018,MARNE,EPERNAY,CLINIQUE D'EPERNAY,Etablissements de Soins de Courte Durée,2,0,0,0,aucune,0,pas d'IVG tardives,"-0,9512195122",en forte baisse,41,44,24,36,1,2,49.0486185954141,3.95051332874783
510000250,2018,MARNE,VITRY LE FRANCOIS,CENTRE HOSPITALIER VITRY LE FRANCOIS,Centres Hospitaliers,9,9,0,1,plus de 95%,0,pas d'IVG tardives,"-0,7954545455",en forte baisse,44,26,4,12,15,9,48.7152942844329,4.59800575407778
510004302,2018,MARNE,REIMS,HOPITAL MAISON BLANCHE CHU REIMS,Centres Hospitaliers Régionaux,698,352,65,"0,5042979943",moins que la moyenne,"0,09312320917",plus que la moyenne,"0,1276252019",en hausse,619,627,718,712,731,698,49.2315914753442,4.01891636369968
510000185,2018,MARNE,REIMS,POLYCLINIQUE DE COURLANCY,Etablissements de Soins de Courte Durée,90,,,0,aucune,0,pas d'IVG tardives,"-0,4512195122",en baisse,164,169,149,147,125,90,49.2454777512627,4.01793354717541
510000193,2018,MARNE,REIMS,POLYCLINIQUE SAINT ANDRE,Etablissements de Soins de Courte Durée,94,64,4,"0,6808510638",plus que la moyenne,"0,04255319149",moins que la moyenne,"-0,6328125",en forte baisse,256,226,190,155,184,94,49.2571321041457,4.04059748057191
510024979,2018,MARNE,BEZANNES,POLYCLINIQUE DE BEZANNES,Etablissements de Soins de Courte Durée,83,51,0,"0,6144578313",plus que la moyenne,0,pas d'IVG tardives,,nouvel établissement,,,,,,83,49.216964,4.000293
520000068,2018,HAUTE-MARNE,ST DIZIER,CH GENEVIEVE DE GAULLE ANTHONIOZ,Centres Hospitaliers,193,179,3,"0,9274611399",plus que la moyenne,"0,01554404145",moins que la moyenne,"0,1028571429",en hausse,175,167,195,167,149,193,48.656910507291,4.96701024088997
520000027,2018,HAUTE-MARNE,CHAUMONT,CENTRE HOSPITALIER DE CHAUMONT,Centres Hospitaliers,199,189,7,"0,9497487437",plus que la moyenne,"0,0351758794",moins que la moyenne,"0,1569767442",en hausse,172,166,199,170,199,199,48.1218510936765,5.13887268803504
530000017,2018,MAYENNE,CHATEAU GONTIER,CENTRE HOSPITALIER DU HAUT ANJOU,Centres Hospitaliers,90,53,5,"0,5888888889",moins que la moyenne,"0,05555555556",moins que la moyenne,"2,6",en hausse,25,55,,66,78,90,47.8278056725532,-0.70154618102382
530000264,2018,MAYENNE,LAVAL,CENTRE HOSPITALIER DE LAVAL,Centres Hospitaliers,316,222,20,"0,7025316456",plus que la moyenne,"0,06329113924",moins que la moyenne,"-0,1684210526",en baisse,380,328,332,343,315,316,48.0651014994392,-0.783943367749714
530000173,2018,MAYENNE,MAYENNE,CENTRE HOSPITALIER NORD MAYENNE,Centres Hospitaliers,128,81,6,"0,6328125",plus que la moyenne,"0,046875",moins que la moyenne,"0,04918032787",stable,122,145,130,128,123,128,48.3046051605187,-0.609613318134164
540001070,2018,MEURTHE-ET-MOSELLE,BRIEY,CH DE BRIEY - HOPITAL MAILLOT,Centres Hospitaliers,223,165,10,"0,7399103139",plus que la moyenne,"0,04484304933",moins que la moyenne,"-0,04700854701",stable,234,229,246,241,226,223,49.2576217811203,5.93505679297439
540001096,2018,MEURTHE-ET-MOSELLE,MONT ST MARTIN,CH DE MT ST MARTIN (GROUPE SOS SANTE),Etablissements de Soins de Courte Durée,199,163,2,"0,8190954774",plus que la moyenne,"0,01005025126",moins que la moyenne,"-0,009950248756",stable,201,218,227,209,171,199,49.5380481047443,5.77948730758738
540013224,2018,MEURTHE-ET-MOSELLE,NANCY,POLYCLINIQUE MAJORELLE,Etablissements de Soins de Courte Durée,325,245,7,"0,7538461538",plus que la moyenne,"0,02153846154",moins que la moyenne,"-0,04692082111",stable,341,380,301,277,306,325,48.7009964721645,6.14457679536598
540000015,2018,MEURTHE-ET-MOSELLE,NANCY,CHRU NANCY - MATERNITE,Centres Hospitaliers Régionaux,913,538,104,"0,5892661555",moins que la moyenne,"0,1139101862",plus que la moyenne,"-0,0449790795",stable,956,908,832,905,942,913,48.6812501403502,6.19024740274382
540000023,2018,MEURTHE-ET-MOSELLE,TOUL,CENTRE HOSPITALIER SAINT CHARLES TOUL,Centres Hospitaliers,138,113,1,"0,8188405797",plus que la moyenne,"0,007246376812",moins que la moyenne,"0,3142857143",en hausse,105,147,134,139,138,138,48.6757096892572,5.88683981005298
540000155,2018,MEURTHE-ET-MOSELLE,LUNEVILLE,CENTRE HOSPITALIER DE LUNEVILLE,Centres Hospitaliers,167,132,10,"0,7904191617",plus que la moyenne,"0,05988023952",moins que la moyenne,"0,2748091603",en hausse,131,161,164,152,155,167,48.5888228801692,6.49277504797028
540000296,2018,MEURTHE-ET-MOSELLE,PONT A MOUSSON,CENTRE HOSPITALIER DE PONT A MOUSSON,Centres Hospitaliers,9,9,0,1,plus de 95%,0,pas d'IVG tardives,,nouvel établissement,,,,,,9,48.9058910307962,6.05107695144435
550000178,2018,MEUSE,BAR LE DUC,POLYCLINIQUE DU PARC,Etablissements de Soins de Courte Durée,6,0,0,0,aucune,0,pas d'IVG tardives,"-0,8965517241",en forte baisse,58,51,32,25,9,6,48.7870542771949,5.16604235716387
550000012,2018,MEUSE,VERDUN,CH VERDUN/ST MIHIEL-HOP ST NICOLAS,Centres Hospitaliers,166,150,3,"0,9036144578",plus que la moyenne,"0,01807228916",moins que la moyenne,"-0,2095238095",en baisse,210,218,178,180,172,166,49.1565577328798,5.38193140667992
550000434,2018,MEUSE,BAR LE DUC,CENTRE HOSPITALIER DE BAR-LE-DUC,Centres Hospitaliers,131,102,1,"0,7786259542",plus que la moyenne,"0,007633587786",moins que la moyenne,"0,149122807",en hausse,114,125,148,132,155,131,48.7864842556998,5.16304094459309
560000127,2018,MORBIHAN,VANNES,CHBA SITE DE VANNES,Centres Hospitaliers,560,182,47,"0,325",moins que la moyenne,"0,08392857143",plus que la moyenne,"-0,05723905724",en baisse,594,574,548,509,489,560,47.6582661479277,-2.76085639141453
560000143,2018,MORBIHAN,NOYAL PONTIVY,CHCB- SITE KÉRIO,Centres Hospitaliers,208,163,9,"0,7836538462",plus que la moyenne,"0,04326923077",moins que la moyenne,"0,07772020725",en hausse,193,209,207,224,202,208,48.0931496991176,-2.91299785102133
560000135,2018,MORBIHAN,LORIENT,GHBS- HÔPITAL DU SCORFF,Centres Hospitaliers,689,406,26,"0,5892597968",moins que la moyenne,"0,03773584906",moins que la moyenne,"-0,05616438356",en baisse,730,701,678,637,648,689,47.7533752381611,-3.35429323151992
560007510,2018,MORBIHAN,NOYAL PONTIVY,POLYCLINIQUE DE KERIO,Etablissements de Soins de Courte Durée,10,8,0,"0,8",plus que la moyenne,0,pas d'IVG tardives,"-0,7222222222",en forte baisse,36,20,16,15,16,10,48.0931496991176,-2.91299785102133
560000192,2018,MORBIHAN,PLOERMEL,CENTRE HOSPITALIER DE PLOERMEL,Centres Hospitaliers,134,90,4,"0,671641791",plus que la moyenne,"0,02985074627",moins que la moyenne,"0,007518796992",stable,133,133,118,113,126,134,47.9348413308388,-2.39165462632174
560000200,2018,MORBIHAN,AURAY,CHBA SITE D'AURAY,Centres Hospitaliers,31,31,0,1,plus de 95%,0,pas d'IVG tardives,"-0,4150943396",en baisse,53,32,45,36,48,31,47.6693675951808,-2.98045623966891
560002511,2018,MORBIHAN,PLOEMEUR,CLINIQUE DU TER,Etablissements de Soins de Courte Durée,14,14,0,1,plus de 95%,0,pas d'IVG tardives,"-0,8541666667",en forte baisse,96,50,50,53,56,14,47.736639037213,-3.40074105824301
570000083,2018,MOSELLE,ST AVOLD,CLINIQUE SAINT NABOR DE SAINT AVOLD,Etablissements de Soins de Courte Durée,152,84,4,"0,5526315789",moins que la moyenne,"0,02631578947",moins que la moyenne,"-0,4472727273",en baisse,275,232,244,245,178,152,49.1177911128695,6.72199992096886
570000059,2018,MOSELLE,FORBACH,CH MARIE-MADELEINE DE FORBACH,Centres Hospitaliers,251,208,7,"0,828685259",plus que la moyenne,"0,02788844622",moins que la moyenne,"-0,109929078",en baisse,282,316,234,264,244,251,49.1817493281689,6.91187743301325
570000646,2018,MOSELLE,METZ 03,HOPITAL-CLINIQUE CLAUDE BERNARD,Etablissements de Soins de Courte Durée,131,94,4,"0,7175572519",plus que la moyenne,"0,03053435115",moins que la moyenne,"-0,3141361257",en baisse,191,145,107,101,126,131,49.1148306815963,6.2110069757007
570000901,2018,MOSELLE,SARREGUEMINES,HOPITAL ROBERT PAX DE SARREGUEMINES,Centres Hospitaliers,179,104,16,"0,5810055866",moins que la moyenne,"0,08938547486",plus que la moyenne,"0,09146341463",en hausse,164,128,143,179,164,179,49.0997965354226,7.09583131316932
570026682,2018,MOSELLE,ARS LAQUENEXY,HOPITAL DE MERCY - CHR METZ THIONVILLE,Centres Hospitaliers Régionaux,1148,628,86,"0,5470383275",moins que la moyenne,"0,07491289199",plus que la moyenne,"-0,1059190031",en baisse,1284,1280,1131,1083,1071,1148,49.084302749925,6.24244418601928
570000117,2018,MOSELLE,SARREBOURG,CH SAINT-NICOLAS DE SARREBOURG,Centres Hospitaliers,94,72,4,"0,7659574468",plus que la moyenne,"0,04255319149",moins que la moyenne,"-0,1214953271",en baisse,107,93,108,88,71,94,48.7301114026916,7.05045308093425
570000349,2018,MOSELLE,THIONVILLE,HOPITAL BEL AIR DE THIONVILLE - CHR,Centres Hospitaliers Régionaux,429,420,13,"0,979020979",plus de 95%,"0,0303030303",moins que la moyenne,"-0,152173913",en baisse,506,496,473,479,429,429,49.3715424846855,6.15119386290386
570000364,2018,MOSELLE,THIONVILLE,CLINIQUE NOTRE DAME DE THIONVILLE,Etablissements de Soins de Courte Durée,77,59,1,"0,7662337662",plus que la moyenne,"0,01298701299",moins que la moyenne,"-0,0375",stable,80,93,62,88,79,77,49.356625409793,6.15595330062878
580972693,2018,NIÈVRE,NEVERS,HOPITAL PIERRE BEREGOVOY,Centres Hospitaliers,144,101,14,"0,7013888889",plus que la moyenne,"0,09722222222",plus que la moyenne,"-0,4566037736",en baisse,265,156,150,182,133,144,46.9908874649439,3.16283842859475
580972685,2018,NIÈVRE,DECIZE,CH DECIZE,Centres Hospitaliers,177,91,28,"0,5141242938",moins que la moyenne,"0,1581920904",plus que la moyenne,"-0,04838709677",stable,186,238,227,179,184,177,46.8224831117524,3.45211585601234
580780195,2018,NIÈVRE,COSNE COURS SUR LOIRE,POLE DE SANTE DE COSNE SUR LOIRE,Etablissements de Soins de Courte Durée,4,0,0,0,aucune,0,pas d'IVG tardives,,nouvel établissement,,62,161,35,24,4,47.4047686908458,2.92796327957986
580972669,2018,NIÈVRE,CLAMECY,CH CLAMECY,Centres Hospitaliers,8,8,0,1,plus de 95%,0,pas d'IVG tardives,,nouvel établissement,,,,,6,8,47.4534512210502,3.50886490470993
590000428,2018,NORD,CAMBRAI,CH CAMBRAI,Centres Hospitaliers,335,257,18,"0,7671641791",plus que la moyenne,"0,05373134328",moins que la moyenne,"-0,07713498623",en baisse,363,386,410,341,348,335,50.1654071015204,3.22868243420616
590000337,2018,NORD,DUNKERQUE,CH DUNKERQUE,Centres Hospitaliers,180,114,10,"0,6333333333",plus que la moyenne,"0,05555555556",moins que la moyenne,,nouvel établissement,,,,,,180,51.0380001866101,2.39551678632616
590000121,2018,NORD,SECLIN,CH SECLIN,Centres Hospitaliers,234,134,10,"0,5726495726",moins que la moyenne,"0,04273504274",moins que la moyenne,"-0,2352941176",en baisse,306,304,299,320,293,234,50.5433388016971,3.01537403871442
590000592,2018,NORD,DENAIN,CH DENAIN,Centres Hospitaliers,313,223,18,"0,7124600639",plus que la moyenne,"0,05750798722",moins que la moyenne,"-0,06845238095",en baisse,336,353,334,322,343,313,50.3283631737566,3.39586648384508
590000618,2018,NORD,VALENCIENNES,CH VALENCIENNES,Centres Hospitaliers,677,542,20,"0,8005908419",plus que la moyenne,"0,02954209749",moins que la moyenne,"-0,3209628887",en baisse,997,937,892,828,906,677,50.3614750523021,3.49584003556529
590000758,2018,NORD,ARMENTIERES,CH ARMENTIERES,Centres Hospitaliers,707,355,42,"0,5021216407",moins que la moyenne,"0,05940594059",moins que la moyenne,"-0,1956769056",en baisse,879,778,749,719,658,707,50.6836403429357,2.86886830694759
590000436,2018,NORD,LE CATEAU CAMBRESIS,CH LE CATEAU,Centres Hospitaliers,185,138,4,"0,7459459459",plus que la moyenne,"0,02162162162",moins que la moyenne,"0,02209944751",stable,181,195,150,177,189,185,50.1048004617686,3.53598621806342
590000469,2018,NORD,FOURMIES,CH FOURMIES,Centres Hospitaliers,119,116,0,"0,974789916",plus de 95%,0,pas d'IVG tardives,"4,173913043",en hausse,23,58,2,138,146,119,50.01161865296,4.05968252885636
590000535,2018,NORD,MAUBEUGE,CH SAMBRE AVESNOIS MAUBEUGE,Centres Hospitaliers,393,302,31,"0,7684478372",plus que la moyenne,"0,07888040712",plus que la moyenne,"0,1424418605",en hausse,344,328,336,284,285,393,50.2786208159677,3.9594692768328
590046538,2018,NORD,GRANDE SYNTHE,CH DUNKERQUE ACTIVITES SITE PGS,Centres Hospitaliers,546,348,29,"0,6373626374",plus que la moyenne,"0,05311355311",moins que la moyenne,"-0,325092707",en baisse,809,813,744,718,680,546,51.0050429798954,2.29107917623836
590782553,2018,NORD,VILLENEUVE D ASCQ,HOPITAL PRIVE DE VILLENEUVE D'ASCQ,Etablissements de Soins de Courte Durée,9,1,0,"0,1111111111",moins que la moyenne,0,pas d'IVG tardives,,nouvel établissement,,,,7,8,9,50.6533709100369,3.15076862288983
590801106,2018,NORD,ROUBAIX,HOPITAL VICTOR PROVO,Centres Hospitaliers,970,540,22,"0,5567010309",moins que la moyenne,"0,02268041237",moins que la moyenne,,nouvel établissement,,,,,1,970,50.6787719870072,3.17175730442246
590804696,2018,NORD,TOURCOING,HOPITAL GUY CHATILIEZ CH TOURCOING,Centres Hospitaliers,665,434,24,"0,6526315789",plus que la moyenne,"0,03609022556",moins que la moyenne,"0,08130081301",en hausse,615,616,654,597,645,665,50.7436214714142,3.18262397124038
590813507,2018,NORD,MAUBEUGE,POLYCLINIQUE DU VAL DE SAMBRE,Etablissements de Soins de Courte Durée,31,0,1,0,aucune,"0,03225806452",moins que la moyenne,"-0,7207207207",en forte baisse,111,128,69,69,57,31,50.2936451898298,3.97592399256189
590006607,2018,NORD,LILLE,HOP JEANNE DE FLANDRE CHR LILLE,Centres Hospitaliers Régionaux,1389,535,92,"0,3851691865",moins que la moyenne,"0,06623470122",moins que la moyenne,"-0,01068376068",stable,1404,1488,1432,1596,1543,1389,50.6100022783917,3.03763632817076
590001004,2018,NORD,DECHY,CH DOUAI DECHY,Centres Hospitaliers,566,115,50,"0,203180212",moins que la moyenne,"0,08833922261",plus que la moyenne,"-0,1856115108",en baisse,695,645,665,629,575,566,50.3331208168385,3.10351527599973
600000194,2018,OISE,BEAUVAIS,CH BEAUVAIS,Centres Hospitaliers,460,256,51,"0,5565217391",moins que la moyenne,"0,1108695652",plus que la moyenne,"-0,238410596",en baisse,604,639,571,549,488,460,49.4507020929434,2.07193082377171
600000467,2018,OISE,CREIL,CH GHPSO CREIL,Centres Hospitaliers,253,252,13,"0,9960474308",plus de 95%,"0,05138339921",moins que la moyenne,"-0,3235294118",en baisse,374,351,332,285,249,253,49.2487445321418,2.46286270696923
600000053,2018,OISE,SENLIS,CH GHPSO SENLIS,Centres Hospitaliers,199,158,18,"0,7939698492",plus que la moyenne,"0,09045226131",plus que la moyenne,"-0,3114186851",en baisse,289,306,274,285,260,199,49.1960375785249,2.57481768631443
600000186,2018,OISE,CLERMONT,CH CLERMONT,Centres Hospitaliers,137,97,6,"0,7080291971",plus que la moyenne,"0,04379562044",moins que la moyenne,"-0,1696969697",en baisse,165,186,172,153,163,137,49.3812365958832,2.41184505969359
600113476,2018,OISE,COMPIEGNE,CH CHICN COMPIÈGNE,Centres Hospitaliers,402,332,25,"0,8258706468",plus que la moyenne,"0,06218905473",moins que la moyenne,"0,1260504202",en hausse,357,426,372,433,414,402,49.3873534755459,2.79051183582587
610000051,2018,ORNE,ALENCON,CHICAM - SITE ALENCON,Centres Hospitaliers,243,189,8,"0,7777777778",plus que la moyenne,"0,0329218107",moins que la moyenne,"-0,08301886792",en baisse,265,266,243,222,206,243,48.4271091585636,0.0843815275663077
610000069,2018,ORNE,ARGENTAN,CENTRE HOSPITALIER D'ARGENTAN,Centres Hospitaliers,141,132,4,"0,9361702128",plus que la moyenne,"0,02836879433",moins que la moyenne,"0,1949152542",en hausse,118,99,88,124,134,141,48.7466302572204,-0.0162745959001174
610000119,2018,ORNE,FLERS,"CH ""JACQUES MONOD"" - FLERS",Centres Hospitaliers,192,148,6,"0,7708333333",plus que la moyenne,"0,03125",moins que la moyenne,"-0,02040816327",stable,196,188,192,167,174,192,48.7492174955474,-0.542576544832616
610000044,2018,ORNE,L AIGLE,CENTRE HOSPITALIER DE L'AIGLE,Centres Hospitaliers,120,85,4,"0,7083333333",plus que la moyenne,"0,03333333333",moins que la moyenne,"0,1320754717",en hausse,106,105,103,97,99,120,48.7662764642005,0.613811280618386
620000349,2018,PAS-DE-CALAIS,ST OMER,CH REGION DE ST OMER,Centres Hospitaliers,251,187,8,"0,7450199203",plus que la moyenne,"0,03187250996",moins que la moyenne,"-0,5246212121",en forte baisse,528,288,274,291,264,251,50.7501266822827,2.25223291705086
620000653,2018,PAS-DE-CALAIS,BOULOGNE SUR MER,CH BOULOGNE-SUR-MER,Centres Hospitaliers,450,343,25,"0,7622222222",plus que la moyenne,"0,05555555556",moins que la moyenne,"-0,3353028065",en baisse,677,624,607,569,445,450,50.7224667318558,1.63089593768826
620003202,2018,PAS-DE-CALAIS,RANG DU FLIERS,CH ARRONDISSEMENT DE MONTREUIL,Centres Hospitaliers,279,155,24,"0,5555555556",moins que la moyenne,"0,08602150538",plus que la moyenne,"-0,003571428571",stable,280,291,271,242,238,279,50.4187280779022,1.6333024813166
620000034,2018,PAS-DE-CALAIS,ARRAS,CH ARRAS,Centres Hospitaliers,503,342,39,"0,6799204771",plus que la moyenne,"0,07753479125",plus que la moyenne,"-0,4171494786",en baisse,863,835,799,720,618,503,50.2943155815537,2.75724168026393
620000224,2018,PAS-DE-CALAIS,BETHUNE,CH BETHUNE,Centres Hospitaliers,461,274,20,"0,5943600868",plus que la moyenne,"0,04338394794",moins que la moyenne,"0,01096491228",stable,456,532,483,464,450,461,50.5310476871548,2.63928500389041
