Nom,Structure,Methodes Pratiquees,Horaires,Lien,Adresse,Ville,Dép.,Rég.
Dr Talal ANNANI,Cabinet médical,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Congés été 2015;Du 31 juillet au 16 août inclus;01 60 72 60 72 ,https://www.ivglesadresses.org/centre_davortement/dr-talal-annani/,"6, Rue du Sergent Perrier","77300, FONTAINEBLEAU",77,11
SUMPPS,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,03 68 85 50 24 ,https://www.ivglesadresses.org/centre_davortement/sumpps/,SUMPPS,"67000, Strasbourg",67,44
Selin ADSIZ,Cabinet sage-femme,IVG médicamenteuse,06 64 05 93 89 ,https://www.ivglesadresses.org/centre_davortement/selin-adsiz/,"45 Rue Carnot, 92100 Boulogne-Billancourt","92100, Boulogne-Billancourt",92,11
Dr Adèle SIGAYRET – Hôpital Privé de la Seine Saint Denis,Hôpital privé,IVG médicamenteuse,01 45 91 55 40 ,https://www.ivglesadresses.org/centre_davortement/dr-adele-sigayret-hopital-prive-de-la-seine-saint-denis/,Hôpital Privé de la Seine Saint-Denis,"93150, LE BLANC-MESNIL",93,11
Audrey Roubaix,Cabinet sage-femme,IVG médicamenteuse,06 66 90 00 31 ,https://www.ivglesadresses.org/centre_davortement/audrey-roubaix/,16 Rue Marguerite Yourcenar,"77380, Combs La Ville",77,11
Groupe Hospitalier Est Réunion,,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,02 62 98 84 05 ou 02 62 98 84 03 Consultations externes de Gynécologie-Obstétrique;Du lundi au vendredi de 8h30 à 12h,https://www.ivglesadresses.org/centre_davortement/groupe-hospitalier-est-reunion/,"30, RN3 - ZAC Bras Madeleine","97470, SAINT-BENOIT",974,04
Centre de PMI et de Planification Barbusse,Centre de Planification et d'Education Familiale,,Accueil;Du lundi au vendredi;De 8h30 à 12h30 et de 13h30 à 17h30;01 49 45 69 55 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-barbusse/,"4, rue Henri Barbusse","93400, SAINT-OUEN",93,11
Centre de PMI et de Planification de Conflans-Sainte-Honorine,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 39 72 65 02 ,https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-de-conflans-sainte-honorine/,1 rue de Pologne,"78700, CONFLANS-SAINTE-HONORINE",78,11
Dr Judith HOTTOIS,Cabinet médical,IVG médicamenteuse,03 25 80 30 30 ,https://www.ivglesadresses.org/centre_davortement/dr-judith-hottois/,1 rue de Tureau,"10220, PINEY",10,44
Dr Parvine Bardon,Cabinet médical,IVG médicamenteuse,02 38 66 14 28 ,https://www.ivglesadresses.org/centre_davortement/dr-parvine-bardon/,19 Avenue Dauphine,"45100, ORLEANS",45,24
Centre de Planification et d’Education Familiale,Centre de Planification et d'Education Familiale,IVG médicamenteuse,01 48 14 21 25 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-et-deducation-familiale-2/,"20, rue Marcel Alizard","93150, LE BLANC-MESNIL",93,11
Centre de PMI et de Planification de Savigny-sur-Orge Prés St-Martin,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil;Présence de la secrétaire du lundi au vendredi de 9h00 à 12h et de 14h00 à 16h00 pour réorienter;01 69 05 74 14 ,https://www.ivglesadresses.org/centre_davortement/centre-de-savigny-sur-orge-pres-st-martin/,28 rue des Prés St Martin,"91600, SAVIGNY-SUR-ORGE",91,11
Centre Hospitalier du Haut Bugey,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Accueil;Du lundi au vendredi de 8h30 à 16h;04 74 73 10 51 ou sur le site www.ch-hautbugey.fr Onglet Prise de RDV;04 74 73 10 01,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-du-haut-bugey/,1 Route de Veyziat,"01100, OYONNAX",01,84
CH Alençon,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,lun/vend:8h30-17h30;02-33-32-30-35 ,https://www.ivglesadresses.org/centre_davortement/ch-alencon/,25 rue Fresnay,"61000, Alençon",61,28
Dr Jean-Louis RUESCH,Cabinet médical,IVG médicamenteuse,04 77 75 72 17 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-louis-ruesch/,4 rue Roquille,"42800, RIVE DE GIER",42,84
Dr Brigitte CABANAT,Cabinet médical,IVG médicamenteuse,05 62 26 22 29 Métro Saint-Michel Marcel Langer,https://www.ivglesadresses.org/centre_davortement/dr-brigitte-cabanat/,"61, Grande rue St Michel","31400, TOULOUSE",31,76
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,Lundi: 12 h à 16h (médecin);Mercredi après-midi (sage-femme);02 31 40 41 30 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-7/,Centre Hospitalier,"14700, Falaise",14,28
Centre Hospitalier Courbevoie-Neuilly-Puteaux,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 16h30;01 40 88 61 64 / 61 63 Consultations IVG sur RDV;Standard: 01 40 88 60 00,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-courbevoie-neuilly-puteaux/,36 boulevard du Général Leclerc,"92200, NEUILLY-SUR-SEINE",92,11
Dr Marie-Emilie LAUTIE,Cabinet médical,IVG médicamenteuse,01 45 87 08 88 ,https://www.ivglesadresses.org/centre_davortement/dr-marie-emilie-lautie/,150 Boulevard du Montparnasse,"75014, PARIS",75,11
Centre Hospitalier de Voiron,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Accueil;Lundi et mardi de 8h30 à 17h;Mercredi et vendredi de 8h30 à 16h30;Jeudi de 8h30 à 17h30;04 76 67 14 41 04 76 67 15 15,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-voiron/,Route des Gorges,"38500, VOIRON",38,84
Dr Catherine MIGLIORELLI,Cabinet médical,IVG médicamenteuse,04 79 88 02 02 ,https://www.ivglesadresses.org/centre_davortement/dr-catherine-migliorelli/,98 Route des Terraillers,"73420, DRUMETTAZ-CLARAFOND",73,84
Centre de PMI et de Planification Maisons-Alfort,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 43 75 48 71 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-familiale-maisons-alfort/,"20, rue Paul Vaillant Couturier","94700, MAISONS-ALFORT",94,11
Dr Hervé Mathieu de Vienne,Cabinet médical,IVG médicamenteuse,02 35 87 78 78 ,https://www.ivglesadresses.org/centre_davortement/dr-herve-mathieu-de-vienne/,25 Rue Du 18 Juin 1940,"27670, Le Bosc Roger En Roumois",27,28
Antenne Centre de Planification et d’Education Familiale,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,03.29.38.13.08 ,https://www.ivglesadresses.org/centre_davortement/antenne-centre-de-planification-deducation-familiale/,"11, rue Marcel Goulette","88130, Charmes",88,44
Centre périnatal de Proximit,Centre Périnatal de Proximité (CPP),IVG médicamenteuse,Lun/ven:9h-19h;02-33-47-43-08 02-33-47-43-00,https://www.ivglesadresses.org/centre_davortement/centre-perinatal-de-proximit/,3 bis rue de la Croute,"50200, Coutances",50,28
Centre Croix-Rouge,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil;Du lundi au vendredi;De 9h à 12h et de 13h30 à 17h;01 48 60 60 10 ,https://www.ivglesadresses.org/centre_davortement/centre-croix-rouge-2/,249 rue de Meaux,"93410, VAUJOURS",93,11
Centre de Planification et d’Education Familiale Départemental,Centre de Planification et d'Education Familiale,,01 34 33 58 50 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-et-deducation-familiale-departemental-2/,10 Place du Marché,"95340, PERSAN",95,11
Dr Claire MASSE-NAVETTE,Cabinet médical,IVG médicamenteuse,04 74 92 22 40 ,https://www.ivglesadresses.org/centre_davortement/dr-claire-masse-navette/,9 Place Jean Baptiste,"38690, BIOL",38,84
Dr Jean-Louis RUESCH,Cabinet médical,IVG médicamenteuse,04 77 75 72 17 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-louis-ruesch/,4 rue Roquille,"42800, RIVE DE GIER",42,84
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,Lundi: 12 h à 16h (médecin);Mercredi après-midi (sage-femme);02 31 40 41 30 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-7/,Centre Hospitalier Boulevard de Bercagnes,"14700, Falaise",14,28
Groupe Hospitalier Intercommunal Le Raincy Montfermeil,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 17h;01 41 70 81 19 Consultations IVG sur RDV;Du lundi au vendredi;Standard 01 41 70 80 00,https://www.ivglesadresses.org/centre_davortement/groupe-hospitalier-intercommunal-le-raincy-montfermeil/,10 rue du Général Leclerc,"93370, MONTFERMEIL",93,11
Dr Agathe SCEMAMA,Cabinet médical,IVG médicamenteuse,01 43 28 37 79 ,https://www.ivglesadresses.org/centre_davortement/dr-agathe-scemama/,15 rue Monge,"75005, PARIS",75,11
Centre Gaston Tessier,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil et consultations IVG;Du lundi au vendredi;De 9h à 17h;01 40 38 84 70 ,https://www.ivglesadresses.org/centre_davortement/centre-gaston-tessier/,12 rue Gaston Tessier,"75019, PARIS",75,11
Centre Hospitalier de Tourcoing – service d’Orthogénie,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale),03.20.69.41.48 ceivg@ch-tourcoing.fr,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-tourcoing-service-dorthogenie/,Hôpital Guy Chatillez,"59200, Tourcoing",59,32
Centre de PMI et de Planification Jean Jaurès,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil;Du lundi au vendredi de 9h à 17h;01 71 29 55 30 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-jean-jaures/,"110, Avenue Jean Jaurès","93120, LA COURNEUVE",93,11
Dr Emmanuel Cléro,Cabinet médical,IVG médicamenteuse,02 35 72 68 40 ,https://www.ivglesadresses.org/centre_davortement/dr-emmanuel-clero/,66 Avenue De Caen,"76100, Rouen",76,28
Dr René BERGER,Cabinet médical,IVG médicamenteuse,04 42 26 18 70 ,https://www.ivglesadresses.org/centre_davortement/dr-rene-berger-3/,10 Boulevard du Roi René,"13100, AIX-EN-PROVENCE",13,93
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 69 28 00 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-18/,"30, rue de la 30ème division américaine","50140, Mortain",50,28
Dr Nicole Bornsztein,Cabinet médical,IVG médicamenteuse,01 64 97 13 60 ,https://www.ivglesadresses.org/centre_davortement/dr-nicole-bornsztein/,29 rue de l’Essonne,"91000, EVRY",91,11
Marie-Laure WARIN,Cabinet sage-femme,IVG médicamenteuse,06 82 74 47 54 ,https://www.ivglesadresses.org/centre_davortement/marie-laure-warin/,10 Rue Jean Jaurès,"54640, Tucquegnieux",54,44
Centre de PMI et de Planification Arcueil,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 45 47 12 23 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-familiale-arcueil/,"5, rue Berthollet","94110, ARCUEIL",94,11
Dr Amélie VIALARD-RICHELME,Cabinet médical,IVG médicamenteuse,04 91 04 64 61 ,https://www.ivglesadresses.org/centre_davortement/dr-amelie-vialard-richelme/,55 rue Grignan,"13006, MARSEILLE",13,93
Polyclinique du Plateau Bezons,Clinique,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 19h;01 39 96 36 36 Consultations IVG sur RDV;Standard 01 39 96 36 00,https://www.ivglesadresses.org/centre_davortement/polyclinique-du-plateau-bezons/,21 rue de Sartrouville,"95870, BEZONS",95,11
Dr Cécile DE NOBLENS,Cabinet médical,IVG médicamenteuse,01 46 33 67 55 ,https://www.ivglesadresses.org/centre_davortement/dr-cecile-de-noblens/,30 rue Monsieur le Prince,"75006, PARIS",75,11
Hôpital Bicêtre,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Lundi et mercredi - De 9h à 12h et de 14h à 17h;Vendredi - De 9h à 13h;01 45 21 22 15 Consultations IVG sur RDV;Standard 01 45 21 21 21,https://www.ivglesadresses.org/centre_davortement/hopital-bicetre/,"78, rue du Général Leclerc","94270, LE KREMLIN-BICÊTRE",94,11
Centre de PMI et de Planification Créteil,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 43 39 23 25 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-familiale-creteil-2/,"4, rue Edgard Degas","94000, CRETEIL",94,11
Centre de PMI et de Planification de Houilles,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 61 04 19 94 ,https://www.ivglesadresses.org/centre_davortement/centre-de-pmi-de-houilles/,21 rue Camille Pelletan,"78800, HOUILLES",78,11
Dr Caroline Leroux,Cabinet médical,IVG médicamenteuse,01 78 86 40 30 ,https://www.ivglesadresses.org/centre_davortement/dr-caroline-leroux/,"140 Rue de Pontoise, 95290 L'Isle-Adam","95290, L'Isle-Adam",95,11
Centre de santé MGEN,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,Accueil;Du lundi au vendredi - De 8h à 19h;01 44 49 28 28 / 0820 01 28 28 ,https://www.ivglesadresses.org/centre_davortement/centre-de-sante-mgen/,178 rue de Vaugirard,"75015, PARIS",75,11
Centre de PMI et de Planification de Saint-Michel-sur-Orge,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Accueil;Lundi - De 9h à 12h et de 13h30 à 16h;Mardi - De 9h à 12h et de 13h30 à 17h30;Mercredi - Fermé;Jeudi - De 13h30 à 17h;Vendredi - De 9h à 12h et de 13h30 à 17h;01 60 15 17 64 ,https://www.ivglesadresses.org/centre_davortement/238/,4 rue Gounod - Bois des Roches,"91240, SAINT-MICHEL-SUR-ORGE",91,11
Centre Municipal de Santé d’Alfortville,Centre de Santé,IVG médicamenteuse,Accueil;Du lundi au jeudi de 8h45 à 12h et de 13h30 à 17h30;Vendredi de 9h à 12h et de 13h30 à 16h30;01 58 73 28 47 Consultations IVG sur RDV;Lundi de 13h30 à 17h;Vendredi de 9h à 12h40 et de 13h30 à 15h50,https://www.ivglesadresses.org/centre_davortement/centre-municipal-de-sante-dalfortville/,54 rue Jules Guesdes,"94140, ALFORTVILLE",94,11
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 31 31 86 77 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-9/,"71, rue Henry Chéron","14100, Lisieux",14,28
MGEN Strasbourg,Centre de Santé,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,03 88 21 14 60 ,https://www.ivglesadresses.org/centre_davortement/mgen-strasbourg/,"4, place du Pont-aux-Chats","67085, Strasbourg",67,44
Dr Nadège Pierre-Louis,Cabinet médical,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,01 71 79 13 79 ,https://www.ivglesadresses.org/centre_davortement/dr-nadege-pierre-louis/,4 bis rue de la papeterie,"95610, Éragny",95,11
Centre Hospitalier de Gonesse,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 16h30;01 77 65 55 13 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-gonesse/,12-18 Rue Pierre de Theilley,"95500, GONESSE",95,11
Dr Michel MOLINIER,Cabinet médical,IVG médicamenteuse,01 42 82 08 70 ,https://www.ivglesadresses.org/centre_davortement/dr-michel-molinier/,"46, rue Fontaine","75009, PARIS",75,11
Centre de PMI et de Planification des Lignières,Centre de Planification et d'Education Familiale,,01 34 33 57 36 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-et-de-pmi-des-lignieres/,"7, place des Sept Fontaines","95150, TAVERNY",95,11
Centre Hospitalier de CARHAIX,,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,02.98.99.23.90 02 98 99 20 20,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-carhaix/,1 rue du Docteur Menguy – BP 157,"29835, CARHAIX",29,53
GHRMSA – Thann,Centre de Planification et d'Education Familiale - Hôpital,IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,03 89 37 71 15 Mardi de 13h30 à 16h30;Mercredi,https://www.ivglesadresses.org/centre_davortement/ghrmsa-thann/,1-3 rue Saint-Jacques,"68800, Thann",68,44
Dr Marie BENQUE,Cabinet médical,IVG médicamenteuse,Prise de RDV possible sur www.ipso.paris;01 84 20 20 20 ,https://www.ivglesadresses.org/centre_davortement/dr-marie-benque/,Cabinet médical IPSO - 323 rue Saint Martin,"75003, PARIS",75,11
Centre hospitalier de Sarrebourg,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,"03.87.23.26.09/24.71 Du lundi au jeudi, 8h-12h - 13h-17h, le vendredi: 8h-12h - 13h - 16h;03.87.23.24.25",https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-sarrebourg/,rue des roses,"57400, Sarrebourg",57,44
Centre Municipal de Santé Chandon,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 40 85 48 20 ,https://www.ivglesadresses.org/centre_davortement/centre-medico-social-camille-ronce/,"82, avenue Chandon","92230, GENNEVILLIERS",92,11
Dr Jean GIRARD,Cabinet médical,IVG médicamenteuse,01 48 36 01 01 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-girard/,"225, Avenue Jean Jaurès","93300, AUBERVILLIERS",93,11
Centre de Planification et d’Education Familiale Epinal,Centre de Planification et d'Education Familiale,IVG médicamenteuse,"Lundi AM, Mercredi AM;03.29.68.43.54 ",https://www.ivglesadresses.org/centre_davortement/centre-de-planification-deducation-familiale-epinal/,"31, rue Thiers","88000, Epinal",88,44
Centre de PMI et de Planification Paul Langevin,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 48 26 27 73 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-paul-langevin/,"3, rue Paul Langevin","93430, VILLETANEUSE",93,11
Centre de Planification et d’Education Familiale Carnot,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,"Accueil;Du lundi au vendredi;De 8h à 12h30 et de 13h30 à 17h;01 45 10 13 10 Consultations gynécologiques, entretiens avec une conseillère conjugale et familiale, avec un psychiatre. Possibilité de rencontrer des infirmières.;Jeudi et vendredi de 8h30 à 12h30 sur RDV",https://www.ivglesadresses.org/centre_davortement/centre-de-planification-et-deducation-familiale-carnot/,31 avenue Carnot,"94190, VILLENEUVE-SAINT-GEORGES",94,11
Clinique Vauban,Clinique,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Du lundi au vendredi - De 9h à 20h;Le samedi - De 9h à 13h;01 45 09 73 17 / 73 20 Standard 01 45 09 73 00,https://www.ivglesadresses.org/centre_davortement/clinique-vauban/,135-137 avenue Vauban,"93190, LIVRY-GARGAN",93,11
Dr Elsa Fagot Griffin,Cabinet médical,IVG médicamenteuse,02 35 49 21 11 ,https://www.ivglesadresses.org/centre_davortement/dr-elsa-fagot-griffin/,118 Avenue du 8 Mai 194,"76600, Le Havre",76,28
Dr Catherine CAMO,Cabinet médical,IVG médicamenteuse,05 62 63 21 11 ,https://www.ivglesadresses.org/centre_davortement/dr-catherine-camo/,Immeuble Grasse - rue Masséna,"32000, AUCH",32,76
CH du Belvédère,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 8h30 à 12h15 et de 13h à 16h30;02 35 15 63 34 Standard hôpital 02 35 15 64 64,https://www.ivglesadresses.org/centre_davortement/ch-du-belvedere/,"72, rue Louis Pasteur","76130, MONT-SAINT-AIGNAN",76,28
Service de Médecine Préventive de l’Université Paris 8 (réservé aux étudiants),Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 49 40 65 10 Conseillère conjugale: vendredi matin;2 consultations médicales par semaine.,https://www.ivglesadresses.org/centre_davortement/service-de-medecine-preventive-de-luniversite-paris-8-reserve-aux-etudiants/,"2, rue de la Liberté","93200, SAINT-DENIS",93,11
Centre de Santé Pierre-Rouquès,Centre de Santé,IVG médicamenteuse,01 86 93 32 00 ,https://www.ivglesadresses.org/centre_davortement/centre-de-sante-pierre-rouques/,43 Avenue Karl Marx,"94800, Villejuif",94,11
Dr Mady DENANTES,Cabinet médical,IVG médicamenteuse,01 46 36 20 85 ,https://www.ivglesadresses.org/centre_davortement/dr-mady-denantes/,391 rue des Pyrénées,"75020, PARIS",75,11
Dr Jean-Pierre CANTIN,Cabinet médical,IVG médicamenteuse,Maison médicale ouverte du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 19h et le samedi de 8h30 à 12h;01 34 70 08 50 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-pierre-cantin/,Maison Médicale,"95260, BEAUMONT-SUR-OISE",95,11
Hôpital Antoine Béclère,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 12h et de 13h15 à 17h;01 45 37 40 12 Consultations IVG sur RDV;Du lundi au vendredi;Standard hôpital: 01 45 37 44 44,https://www.ivglesadresses.org/centre_davortement/hopital-antoine-beclere/,157 rue de la Porte de Trivaux,"92140, CLAMART",92,11
Dr Yvette GUTHMANN,Cabinet médical,IVG médicamenteuse,01 42 68 11 75 ,https://www.ivglesadresses.org/centre_davortement/dr-yvette-guthmann/,6 Rue Greffulhe,"75008, PARIS",75,11
Agnès MARGALEF,Cabinet sage-femme,IVG médicamenteuse,06.14.83.05.54 ,https://www.ivglesadresses.org/centre_davortement/agnes-margalef-2/,212 rue Saint Maur,"75011, Paris",75,11
Centre Sévigné – Fondation Dispensaire Général de Lyon,Centre de Santé,IVG médicamenteuse,Secrétariat ouvert;Du lundi au vendredi de 8h30 à 18h;04 78 14 14 14 choix 3 puis choix 3 Consultations pour IVG médicamenteuse sur RDV;Standard 04 78 14 14 14,https://www.ivglesadresses.org/centre_davortement/centre-sevigne-fondation-dispensaire-general-de-lyon/,10 rue de Sévigné,"69003, LYON",69,84
Dr Laurence DANJOU / Dr Stella HADIDA-DANAN,Cabinet médical,IVG médicamenteuse,01 45 45 73 45 ,https://www.ivglesadresses.org/centre_davortement/dr-stella-hadida-danan/,150 rue Raymond Losserand,"75014, PARIS",75,11
Dr Nicolas PERRET,Cabinet médical,IVG médicamenteuse,04 50 72 42 08 ,https://www.ivglesadresses.org/centre_davortement/dr-nicolas-perret/,534 Route de Thonon,"74550, PERRIGNIER",74,84
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,Lundi: 12 h à 16h (médecin);Mercredi après-midi (sage-femme);02 31 40 41 30 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-7/,Centre Hospitalier,"14700, Falaise",14,28
Centre Hospitalier du Vésinet,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 30 15 83 92 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-du-vesinet/,72 avenue de la Princesse,"78110, LE VESINET",78,11
Dr Cécile DE NOBLENS,Cabinet médical,IVG médicamenteuse,01 46 33 67 55 ,https://www.ivglesadresses.org/centre_davortement/dr-cecile-de-noblens/,30 rue Monsieur le Prince,"75006, PARIS",75,11
Dr Jean-Luc DEGUELLE,Cabinet médical,IVG médicamenteuse,05 96 42 08 68 ,https://www.ivglesadresses.org/centre_davortement/dr-jean-luc-deguelle/,Centre commercial Place d'Armes,"97232, LE LAMENTIN",972,02
Centre de Santé AGECSA Abbaye-Jouhaux,Centre de Santé,IVG médicamenteuse,Du lundi au vendredi de 8h30 à 12h et de 14h à 18h45;Samedi de 8h30 à 12h;04 76 51 16 38 ,https://www.ivglesadresses.org/centre_davortement/centre-de-sante-abbaye-jouhaux/,28 rue Elie Cartan,"38100, GRENOBLE",38,84
Hôpital Avicenne,,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 8h à 15h30;01 48 95 57 71 Consultations IVG sur RDV;Du lundi au vendredi (sauf le mardi);Standard hôpital: 01 48 95 55 55,https://www.ivglesadresses.org/centre_davortement/hopital-avicenne/,"129, rue de Stalingrad","93000, BOBIGNY",93,11
Hôpital du Gier,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat ouvert;Du lundi au vendredi de 8h30 à 17h30;04 77 31 19 35 Standard 04 77 31 19 19,https://www.ivglesadresses.org/centre_davortement/hopital-du-gier/,19 Rue Victor Hugo,"42400, SAINT-CHAMOND",42,84
Centre Hospitalier Troyes,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,03 25 49 49 04 03 25 49 48 31,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-troyes/,101 avenue Anatole France,"10003, Troyes",10,44
Centre hospitalier de Sarrebourg,Hôpital,IVG chirurgicale (anesthésie générale) - IVG chirurgicale (anesthésie locale) - IVG médicamenteuse,"03.87.23.26.09/24.71 Du lundi au jeudi, 8h-12h - 13h-17h, le vendredi: 8h-12h - 13h - 16h;03.87.23.24.25",https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-sarrebourg/,rue des roses,"57400, Sarrebourg",57,44
CENTRE DE PLANIFICATION,Centre de Planification et d'Education Familiale,,02 33 12 42 25 ,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-23/,"16, rue des Capucins","61200, Argentan",61,28
Centre Hospitalier de Dieppe,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Lundi au vendredi de 8h à 18h;0800 08 21 76 (numéro gratuit depuis un poste fixe) ou 02 32 14 72 30 ,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-de-dieppe/,Avenue Pasteur,"76200, DIEPPE",76,28
Dr Géraldine PALIS,Cabinet médical,IVG médicamenteuse,04 79 69 67 17 ,https://www.ivglesadresses.org/centre_davortement/dr-geraldine-palis/,Lotissement St Alban Services,"73610, ST ALBAN DE MONTBEL",73,84
Centre de PMI et de Planification de Yerres,Centre de Planification et d'Education Familiale,IVG médicamenteuse,"Accueil;Lundi, Mardi, Jeudi - De 9h à 12h et de 13h30 à 17h30;Mercredi, Vendredi - De 9h à 12h;01 60 47 89 39 ",https://www.ivglesadresses.org/centre_davortement/centre-de-yerres/,4 rue du Clos des Abesses,"91330, YERRES",91,11
Dr Vanessa TANCHON,Cabinet médical,IVG médicamenteuse,01 39 13 89 89 ,https://www.ivglesadresses.org/centre_davortement/dr-vanessa-tanchon/,89 avenue Georges Clémenceau,"78500, SARTROUVILLE",78,11
Dr Fadi WEHBE – Clinique Saint-Louis,Clinique,IVG médicamenteuse,01 30 74 88 87 ,https://www.ivglesadresses.org/centre_davortement/dr-fadi-wehbe-clinique-saint-louis/,Clinique Saint-Louis - 1 Rue Basset,"78300, POISSY",78,11
Dr Marjorie Loygue,Cabinet médical,IVG médicamenteuse,02-31-79-63-59 ,https://www.ivglesadresses.org/centre_davortement/dr-marjorie-loygue/,3 rue Choron,"14000, Caen",14,28
Dr Philippe DENOYELLE,Cabinet médical,IVG médicamenteuse,01 47 97 25 19 ,https://www.ivglesadresses.org/centre_davortement/dr-philippe-denoyelle/,10 rue du Jourdain,"75020, PARIS",75,11
